event_name,start_date,end_date,start_time,end_time,description,location,access_groups,rsvp,comments,attendance_tracking,duty_roster,ticketing,reference_id
One Day Grade 4 NBCCC OD4 - Nice n Fresh vs WSCC One Day 4's,2025-11-29,2025-11-29,12:30,14:30,One Day Round 6: NBCCC OD4 - Nice n Fresh vs WSCC One Day 4's,Eglinton Aintree Reserve,NBCCC OD4 - Nice n Fresh,true,true,false,false,false,
One Day Grade 5 Black WSCC One Day 5's vs FMPCC Pirates 8th XI,2025-11-29,2025-11-29,12:30,14:30,One Day Round 6: WSCC One Day 5's vs FMPCC Pirates 8th XI,Charles Court Reserve,WSCC One Day 5's,true,true,false,false,false,
One Day Grade 1 Granex Trade Whitfords 4th XI - ODC 1 vs WSCC One Day 1's,2025-12-06,2025-12-06,12:30,14:30,One Day Round 7: Granex Trade Whitfords 4th XI - ODC 1 vs WSCC One Day 1's,Macdonald Park North Oval – Synthetic,Granex Trade Whitfords 4th XI - ODC 1,true,true,false,false,false,
One Day Grade 2 Hola Health WSCC One Day 2's vs Swan Valley 3rd XI OD2,2025-12-06,2025-12-06,12:30,14:30,One Day Round 7: Hola Health WSCC One Day 2's vs Swan Valley 3rd XI OD2,College Park Lower - Synthetic,Hola Health WSCC One Day 2's,true,true,false,false,false,
One Day Grade 3 WSCC One Day 3's vs NBCCC OD3,2025-12-06,2025-12-06,12:30,14:30,One Day Round 7: WSCC One Day 3's vs NBCCC OD3,David Cruikshank Reserve,WSCC One Day 3's,true,true,false,false,false,
One Day Grade 4 CVPCC Fifth XI vs WSCC One Day 4's,2025-12-06,2025-12-06,12:30,14:30,One Day Round 7: CVPCC Fifth XI vs WSCC One Day 4's,Raphael Park 3 (North),CVPCC Fifth XI,true,true,false,false,false,
One Day Grade 5 Black WSCC One Day 5's vs Wembley Districts 5th XI,2025-12-06,2025-12-06,12:30,14:30,One Day Round 7: WSCC One Day 5's vs Wembley Districts 5th XI,Rosalie Park Synthetic (North Oval),WSCC One Day 5's,true,true,false,false,false,
Colts T20 X Golf WSCC Colts vs MUMCC Colts,2025-12-07,2025-12-07,10:30,12:30,T20 Round 5: X Golf WSCC Colts vs MUMCC Colts,College Park West - Turf,X Golf WSCC Colts,true,true,false,false,false,
Twenty20 Div 2 Varsity WSCC T20 Div 2 vs North Perth T20 Div 2,2025-12-07,2025-12-07,14:00,16:00,T20 Round 6: Varsity WSCC T20 Div 2 vs North Perth T20 Div 2,College Park West - Turf,Varsity WSCC T20 Div 2,true,true,false,false,false,
Twenty20 Div 3 NBCCC Div 3 T20 vs Prestige Liquor WSCC T20 Div 3,2025-12-07,2025-12-07,14:00,16:00,T20 Round 5: NBCCC Div 3 T20 vs Prestige Liquor WSCC T20 Div 3,Monyash Reserve,NBCCC Div 3 T20,true,true,false,false,false,
2nd Grade Hola Health WSCC 1st XI vs Kalamunda 1st XI,2025-12-13,2025-12-13,12:30,14:30,One Day Round 7: Hola Health WSCC 1st XI vs Kalamunda 1st XI,College Park West - Turf,Hola Health WSCC 1st XI,true,true,false,false,false,
4th Grade NBCCC 2nd XI - Westoz vs Kreative Property WSCC 2nd XI,2025-12-13,2025-12-13,12:30,14:30,One Day Round 7: NBCCC 2nd XI - Westoz vs Kreative Property WSCC 2nd XI,Monyash Reserve,NBCCC 2nd XI - Westoz,true,true,false,false,false,
5th Grade Prestige Liquor WSCC 3rd XI vs Balcatta Cats 3rd XI,2025-12-13,2025-12-13,12:30,14:30,One Day Round 7: Prestige Liquor WSCC 3rd XI vs Balcatta Cats 3rd XI,Rosalie Park Turf (South Oval),Prestige Liquor WSCC 3rd XI,true,true,false,false,false,
7th Grade MUMCC 5th XI vs Canaccord Genuity WSCC 4th XI,2025-12-13,2025-12-13,12:30,14:30,One Day Round 7: MUMCC 5th XI vs Canaccord Genuity WSCC 4th XI,Tompkins South West,MUMCC 5th XI,true,true,false,false,false,
One Day Grade 1 WSCC One Day 1's vs Bedford Morley 3rd XI (OD1 Blue),2025-12-13,2025-12-13,12:30,14:30,One Day Round 8: WSCC One Day 1's vs Bedford Morley 3rd XI (OD1 Blue),College Park Lower - Synthetic,WSCC One Day 1's,true,true,false,false,false,
One Day Grade 2 Kalamunda 3rd XI - OD2 vs Hola Health WSCC One Day 2's,2025-12-13,2025-12-13,12:30,14:30,One Day Round 8: Kalamunda 3rd XI - OD2 vs Hola Health WSCC One Day 2's,Kostera Oval North (Synthetic),Kalamunda 3rd XI - OD2,true,true,false,false,false,
One Day Grade 3 MUMCC 4th XI vs WSCC One Day 3's,2025-12-13,2025-12-13,12:30,14:30,One Day Round 8: MUMCC 4th XI vs WSCC One Day 3's,Tompkins South East,MUMCC 4th XI,true,true,false,false,false,
One Day Grade 4 WSCC One Day 4's vs Ross Realty - Bassendean CC 6th XI,2025-12-13,2025-12-13,12:30,14:30,One Day Round 8: WSCC One Day 4's vs Ross Realty - Bassendean CC 6th XI,David Cruikshank Reserve,WSCC One Day 4's,true,true,false,false,false,
One Day Grade 5 Black WSCC One Day 5's vs North Perth 4th XI,2025-12-13,2025-12-13,12:30,14:30,One Day Round 8: WSCC One Day 5's vs North Perth 4th XI,Rosalie Park Synthetic (North Oval),WSCC One Day 5's,true,true,false,false,false,
Colts T20 Swan Ath U21 COLTS T20 vs X Golf WSCC Colts,2025-12-14,2025-12-14,12:00,14:00,T20 Round 6: Swan Ath U21 COLTS T20 vs X Golf WSCC Colts,Lilac Hill 3,Swan Ath U21 COLTS T20,true,true,false,false,false,
Colts T20  vs,2025-12-14,2025-12-14,,, Round 7:  vs ,,Public,true,true,false,false,false,
RJR Sports T20 Division 1 Hola Health WSCC T20 Div 1 vs North Perth Garage Force T20 Div 1,2025-12-14,2025-12-14,10:30,12:30,T20 Round 6: Hola Health WSCC T20 Div 1 vs North Perth Garage Force T20 Div 1,College Park West - Turf,Hola Health WSCC T20 Div 1,true,true,false,false,false,
RJR Sports T20 Division 1  vs,2025-12-14,2025-12-14,,, Round 7:  vs ,,Public,true,true,false,false,false,
Twenty20 Div 2  vs,2025-12-14,2025-12-14,,, Round 7:  vs ,,Public,true,true,false,false,false,
Twenty20 Div 3 Prestige Liquor WSCC T20 Div 3 vs Nail Brewing - Bassendean CC T20 Div 3,2025-12-14,2025-12-14,14:00,16:00,T20 Round 6: Prestige Liquor WSCC T20 Div 3 vs Nail Brewing - Bassendean CC T20 Div 3,College Park West - Turf,Prestige Liquor WSCC T20 Div 3,true,true,false,false,false,
2nd Grade Hola Health WSCC 1st XI vs Granex Trade Whitfords 1st XI,2025-12-20,2025-12-20,12:30,14:30,One Day Round 8: Hola Health WSCC 1st XI vs Granex Trade Whitfords 1st XI,College Park West - Turf,Hola Health WSCC 1st XI,true,true,false,false,false,
2nd Grade Bentley 1st XI vs Hola Health WSCC 1st XI,2026-01-10,2026-01-10,12:30,14:30,One Day Round 9: Bentley 1st XI vs Hola Health WSCC 1st XI,Wyong park,Bentley 1st XI,true,true,false,false,false,
4th Grade Kreative Property WSCC 2nd XI vs Bentley 2nd XI,2026-01-10,2026-01-10,12:30,14:30,One Day Round 8: Kreative Property WSCC 2nd XI vs Bentley 2nd XI,College Park West - Turf,Kreative Property WSCC 2nd XI,true,true,false,false,false,
