"Game Date","Game Type","Grade","Round","Game Status","Venue","Playing Surface","Time","Toss Winner","Elected To","Home Team","Home Team Score","Home Team Over Limit","Home Team Result","Home Team Players In Lineup","Home Team Player Points","Away Team","Away Team Score","Away Team Over Limit","Away Team Result","Away Team Players In Lineup","Away Team Player Points","Bye","Host Organisation","Competition","Competition Type","Season","Game Alias","Game Code","Game ID","Result Source","Result Timestamp (last updated)","Last Updated At","Last Updated By","Last Updated By Organisation"
"01/11/2025","One Day","One Day Grade 5 Black","Round 3","Final","David Cruikshank Reserve","David Cruikshank Reserve","12:30","WSCC One Day 5's","Bowl","WSCC One Day 5's","9/116 (31.4)","40","Lost","11",,"MUMCC 6th XI","6/215 (40)","40","Won","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"a1868a","a1868ab5-ffc9-4f59-a5f2-39f47e26768d","E-scoring","01/11/2025 17:34 (Australia/Perth)","09/11/2025 09:36 (Australia/Perth)","Mike Davis","Western Suburbs Cricket Club"
"02/11/2025",,"Colts T20","Round 3",,,,,,,,,,,,,,,,,,,"X Golf WSCC Colts","West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,,,,,,"",""
"02/11/2025","T20","RJR Sports T20 Division 1","Round 4","Final","Allen Park","Allen Park Upper (Turf)","14:00","Hola Health WSCC T20 Div 1","Bat","Swanbourne CC T20 Div 1","4/143 (17.1)","20","Won","11",,"Hola Health WSCC T20 Div 1","7/142 (20)","20","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"f5a8d4","f5a8d4f7-e148-4bef-a039-7e7da3919da5","E-scoring","02/11/2025 16:37 (Australia/Perth)","02/11/2025 16:37 (Australia/Perth)",,""
"02/11/2025",,"RJR Sports T20 Division 1","Round 3",,,,,,,,,,,,,,,,,,,"Hola Health WSCC T20 Div 1","West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,,,,,,"",""
"02/11/2025","T20","Twenty20 Div 2","Round 3","Final","Allen Park","Allen Park Upper (Turf)","10:30","Swanbourne CC T20 Div 2","Bat","Swanbourne CC T20 Div 2","5/132 (20)","20","Lost","11",,"Varsity WSCC T20 Div 2","4/138 (18.1)","20","Won","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"aea072","aea07284-450b-416c-96e2-cf18fd844f02","E-scoring","02/11/2025 13:08 (Australia/Perth)","03/11/2025 22:10 (Australia/Perth)","Joel Ithier","Swanbourne Cricket Club"
"02/11/2025","T20","Twenty20 Div 3","Round 3","Final","Pat Goodridge","Pat Goodridge Reserve (Turf)","14:00","Wembley Districts T20 Div 3","Bat","Wembley Districts T20 Div 3","2/154 (20)","20","Won","11",,"Prestige Liquor WSCC T20 Div 3","5/135 (20)","20","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"8f74c3","8f74c32a-3c02-4293-9515-324ff7814833","Manual","03/11/2025 08:05 (Australia/Perth)","04/11/2025 16:09 (Australia/Perth)","Tom Syminton","Wembley Districts Cricket Club"
"08/11/2025, 15/11/2025","Two Day","2nd Grade","Round 5","Pending","College Park","College Park West - Turf","13:00",,,"Hola Health WSCC 1st XI",,,,"12",,"Ocean Ridge 1st XI",,,,"11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"d616bb","d616bb31-b6af-4f26-aee6-7366a114cbb5","","","08/11/2025 12:19 (Australia/Perth)","Bradley Forbes","Western Suburbs Cricket Club"
"08/11/2025, 15/11/2025","Two Day","4th Grade","Round 5","Pending","Flinders Park (HILLARYS)","Flinders Park","13:00",,,"Ocean Ridge 2nd XI",,,,"12",,"Kreative Property WSCC 2nd XI",,,,"12",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"566dcd","566dcda0-d451-4480-a170-62a57b16bb7c","","","08/11/2025 12:18 (Australia/Perth)","Bradley Forbes","Western Suburbs Cricket Club"
"08/11/2025, 15/11/2025","Two Day","5th Grade","Round 5","Pending","Carine Open Space","Carine Open Space","13:00",,,"NBCCC 3rd XI - Knight Financial Advisors",,,,"11",,"Prestige Liquor WSCC 3rd XI",,,,"11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"9e8d10","9e8d10c2-cd6f-4386-abbb-5ff7abef620d","","","08/11/2025 12:50 (Australia/Perth)","Alex Ford","Western Suburbs Cricket Club"
"08/11/2025, 15/11/2025","Two Day","7th Grade","Round 5","In progress","Rosalie Park","Rosalie Park Turf (South Oval)","13:00","Canaccord Genuity WSCC 4th XI","Bat","Canaccord Genuity WSCC 4th XI","10/239 (60.2)",,,"12",,"Applecross 5th XI",,,,"11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"e713a3","e713a3d2-4bcb-4c97-af47-a4afe64d6b5c","","","09/11/2025 14:06 (Australia/Perth)","Len Blakey","Applecross Cricket Club"
